1	0	0	0	0	0	0	0	0	0	0	0	0	0																																																																																																													
0	1	0	0	0	0	0	0	0	0	0	0	0	0																																																																																																													
0	0	2.492669e-01	5.004888e-01	0	0	0	0	0	0	0	2.502444e-01	0	0																																																																																																													
0	0	0	1	0	0	0	0	0	0	0	0	0	0																																																																																																													
6.256109e-02	6.256109e-02	1.251222e-01	1.876833e-01	1.241447e-01	0	6.256109e-02	1.251222e-01	1.251222e-01	0	0	1.251222e-01	0	0																																																																																																													
0	0	0	0	0	1.867058e-01	6.256109e-02	0	1.251222e-01	2.502444e-01	1.251222e-01	2.502444e-01	0	0																																																																																																													
0	0	0	0	0	0	1	0	0	0	0	0	0	0																																																																																																													
0	0	0	0	0	0	0	4.995112e-01	0	0	0	5.004888e-01	0	0																																																																																																													
0	0	0	0	0	0	0	0	4.995112e-01	0	0	5.004888e-01	0	0																																																																																																													
0	0	0	0	0	0	1.251222e-01	0	0	3.743891e-01	0	5.004888e-01	0	0																																																																																																													
0	0	0	0	0	0	2.502444e-01	0	0	0	4.995112e-01	2.502444e-01	0	0																																																																																																													
0	0	0	0	0	0	0	0	0	0	0	1	0	0																																																																																																													
0	0	0	0	0	0	6.256109e-02	6.256109e-02	6.256109e-02	1.876833e-01	9.384164e-02	1.876833e-01	1.554252e-01	1.876833e-01																																																																																																													
0	0	0	0	0	0	0	0	0	0	0	0	0	1																																																																																																													
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
